date,close
2015-12-28,"16,665"
2015-12-29,"17,025"
2015-12-30,"17,215"
2016-01-04,"16,590"
2016-01-05,"16,705"
2016-01-06,"16,645"
2016-01-07,"16,410"
2016-01-08,"16,430"
2016-01-11,"16,015"
2016-01-12,"15,810"
2016-01-13,"16,010"
2016-01-14,"16,065"
2016-01-15,"16,050"
2016-01-18,"15,910"
2016-01-19,"16,165"
2016-01-20,"15,760"
2016-01-21,"15,685"
2016-01-22,"15,800"
2016-01-25,"16,085"
2016-01-26,"15,865"
2016-01-27,"16,000"
2016-01-28,"15,940"
2016-01-29,"15,900"
2016-02-01,"16,190"
2016-02-02,"16,235"
2016-02-03,"15,965"
2016-02-04,"15,970"
2016-02-05,"16,000"
2016-02-11,"15,165"
2016-02-12,"14,910"
2016-02-15,"15,305"
2016-02-16,"15,615"
2016-02-17,"15,700"
2016-02-18,"16,050"
2016-02-19,"16,155"
2016-02-22,"16,205"
2016-02-23,"16,160"
2016-02-24,"16,450"
2016-02-25,"16,560"
2016-02-26,"16,575"
2016-02-29,"16,590"
2016-03-02,"16,985"
2016-03-03,"17,000"
2016-03-04,"17,000"
2016-03-07,"16,850"
2016-03-08,"16,700"
2016-03-09,"16,600"
2016-03-10,"16,900"
2016-03-11,"16,910"
2016-03-14,"16,800"
2016-03-15,"16,740"
2016-03-16,"16,690"
2016-03-17,"16,910"
2016-03-18,"16,830"
2016-03-21,"16,750"
2016-03-22,"16,850"
2016-03-23,"16,890"
2016-03-24,"16,635"
2016-03-25,"16,715"
2016-03-28,"16,620"
2016-03-29,"16,690"
2016-03-30,"16,785"
2016-03-31,"16,880"
2016-04-01,"16,910"
2016-04-04,"16,955"
2016-04-05,"16,800"
2016-04-06,"16,800"
2016-04-07,"16,800"
2016-04-08,"16,765"
2016-04-11,"16,735"
2016-04-12,"16,835"
2016-04-14,"16,940"
2016-04-15,"16,955"
2016-04-18,"16,955"
2016-04-19,"16,945"
2016-04-20,"16,985"
2016-04-21,"16,990"
2016-04-22,"16,905"
2016-04-25,"16,890"
2016-04-26,"17,100"
2016-04-27,"17,025"
2016-04-28,"16,670"
2016-04-29,"16,665"
2016-05-02,"16,525"
2016-05-03,"16,570"
2016-05-04,"16,460"
2016-05-09,"16,220"
2016-05-10,"16,325"
2016-05-11,"16,230"
2016-05-12,"16,095"
2016-05-13,"16,105"
2016-05-16,"16,115"
2016-05-17,"16,105"
2016-05-18,"16,065"
2016-05-19,"15,940"
2016-05-20,"16,000"
2016-05-23,"16,125"
2016-05-24,"16,195"
2016-05-25,"16,430"
2016-05-26,"16,400"
2016-05-27,"16,540"
2016-05-30,"16,625"
2016-05-31,"16,740"
2016-06-01,"16,960"
2016-06-02,"16,965"
2016-06-03,"17,020"
2016-06-07,"17,200"
2016-06-08,"17,155"
2016-06-09,"17,120"
2016-06-10,"17,115"
2016-06-13,"16,795"
2016-06-14,"16,955"
2016-06-15,"17,440"
2016-06-16,"17,205"
2016-06-17,"17,185"
2016-06-20,"17,420"
2016-06-21,"17,420"
2016-06-22,"17,570"
2016-06-23,"17,470"
2016-06-24,"17,100"
2016-06-27,"17,090"
2016-06-28,"17,100"
2016-06-29,"17,285"
2016-06-30,"17,640"
2016-07-01,"17,860"
2016-07-04,"17,960"
2016-07-05,"17,930"
2016-07-06,"17,500"
2016-07-07,"17,880"
2016-07-08,"17,900"
2016-07-11,"18,215"
2016-07-12,"18,085"
2016-07-13,"18,260"
2016-07-14,"18,380"
2016-07-15,"18,400"
2016-07-18,"18,435"
2016-07-19,"18,520"
2016-07-20,"18,560"
2016-07-21,"19,035"
2016-07-22,"18,960"
2016-07-25,"18,825"
2016-07-26,"18,930"
2016-07-27,"19,055"
2016-07-28,"19,025"
2016-07-29,"19,455"
2016-08-01,"19,770"
2016-08-02,"19,580"
2016-08-03,"19,600"
2016-08-04,"19,510"
2016-08-05,"19,735"
2016-08-08,"19,660"
2016-08-09,"19,670"
2016-08-10,"19,475"
2016-08-11,"19,275"
2016-08-12,"19,300"
2016-08-16,"19,130"
2016-08-17,"18,880"
2016-08-18,"19,450"
2016-08-19,"19,820"
2016-08-22,"19,730"
2016-08-23,"19,735"
2016-08-24,"19,545"
2016-08-25,"19,525"
2016-08-26,"19,300"
2016-08-29,"19,145"
2016-08-30,"19,110"
2016-08-31,"19,015"
2016-09-01,"18,850"
2016-09-02,"19,000"
2016-09-05,"19,120"
2016-09-06,"19,245"
2016-09-07,"19,040"
2016-09-08,"18,880"
2016-09-09,"18,900"
2016-09-12,"18,330"
2016-09-13,"18,465"
2016-09-19,"19,030"
2016-09-20,"19,095"
2016-09-21,"19,120"
2016-09-22,"19,600"
2016-09-23,"19,500"
2016-09-26,"19,435"
2016-09-27,"19,600"
2016-09-28,"19,605"
2016-09-29,"19,630"
2016-09-30,"19,685"
2016-10-04,"19,880"
2016-10-05,"20,030"
2016-10-06,"19,940"
2016-10-07,"19,835"
2016-10-10,"19,500"
2016-10-11,"19,460"
2016-10-12,"19,325"
2016-10-13,"19,015"
2016-10-14,"19,220"
